filename,complete,dname_f,alg_f,k_or_tol_f,mtype_f,perm_mode_f,omp_threads_f,alg,mtype,k,tol,dname,dfile,perm_mode,tensor_shape,time_transform_matrix,time_data_to_pystarm,compression_ratio,time_compress_ttm_total,time_slicewise_svd,time_slicewise_svdvals,time_thresholds,time_slicewise_svdks,time_reconstruct_matmul,time_reconstruct_ttm_total,absolute_err,relative_err,norm_original,norm_reconstructed
traffic_tsvdmi_10_dct_0123_64,True,traffic,tsvdmi,10,dct,0123,64,tsvdmi,dct,10,None,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.000528208096511662,9.358045645058155e-06,6.832740213523132,0.03188984910957515,0.017408031038939953,,,,0.002594943973235786,0.009921393124386668,44469.5411153098,0.1301194025690575,341759.493490671,338853.96751992387
traffic_tsvdmi_10_dct_0321_64,True,traffic,tsvdmi,10,dct,0321,64,tsvdmi,dct,10,None,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.0006586309755221009,9.307987056672573e-06,5.975103734439834,0.04148692695889622,0.019560831948183477,,,,0.0032401680946350098,0.012617462896741927,29354.377407502023,0.0858919151233565,341759.493490671,340496.5079380667
traffic_tsvdmi_10_eye_0123_64,True,traffic,tsvdmi,10,eye,0123,64,tsvdmi,eye,10,None,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",2.2350577637553215e-06,3.953592386096716e-05,6.832740213523132,,0.05081324209459126,,,,0.0023875139886513352,,45636.9484195547,0.13353527638230905,341759.493490671,338698.71616224194
traffic_tsvdmi_10_eye_0321_64,True,traffic,tsvdmi,10,eye,0321,64,tsvdmi,eye,10,None,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",2.2639287635684013e-06,3.878504503518343e-05,5.975103734439834,,0.04192843695636839,,,,0.0022339479764923453,,26185.530275629997,0.07661975972686413,341759.493490671,340754.8523428303
traffic_tsvdmi_10_hosvd_0123_64,True,traffic,tsvdmi,10,hosvd,0123,64,tsvdmi,hosvd,10,None,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.6221643229946494,3.0047958716750145e-05,6.832740213523132,0.07296633394435048,0.019950864021666348,,,,0.002679286990314722,0.01082538696937263,47119.586255536546,0.13787352554354945,341759.493490671,338495.6365776477
traffic_tsvdmi_10_hosvd_0321_64,True,traffic,tsvdmi,10,hosvd,0321,64,tsvdmi,hosvd,10,None,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.5486937270034105,2.1661981008946896e-05,5.975103734439834,0.04873256792780012,0.026919473079033196,,,,0.0031960130436345935,0.013780476059764624,29427.17550135634,0.08610492484288404,341759.493490671,340490.22413721686
traffic_tsvdmi_20_dct_0123_64,True,traffic,tsvdmi,20,dct,0123,64,tsvdmi,dct,20,None,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.0005446999566629529,8.836970664560795e-06,3.416370106761566,0.031911700963974,0.023560294997878373,,,,0.002941983053460717,0.010328848147764802,33131.755901168304,0.0969446541565427,341759.493490671,340149.7290046035
traffic_tsvdmi_20_dct_0321_64,True,traffic,tsvdmi,20,dct,0321,64,tsvdmi,dct,20,None,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.0006785980658605695,8.495990186929703e-06,2.987551867219917,0.059816182940267026,0.03079264296684414,,,,0.003070009988732636,0.012647820985876024,20681.41380131137,0.06051452613671406,341759.493490671,341133.1565740552
traffic_tsvdmi_20_eye_0123_64,True,traffic,tsvdmi,20,eye,0123,64,tsvdmi,eye,20,None,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",2.6150373741984367e-06,3.9736973121762276e-05,3.416370106761566,,0.045664622099138796,,,,0.00273784005548805,,34257.60346016665,0.10023892272974058,341759.493490671,340038.18608527776
traffic_tsvdmi_20_eye_0321_64,True,traffic,tsvdmi,20,eye,0321,64,tsvdmi,eye,20,None,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",2.7960631996393204e-06,4.005699884146452e-05,2.987551867219917,,0.04832259798422456,,,,0.002797254011966288,,15760.583460312577,0.0461160077788528,341759.493490671,341395.89247674105
traffic_tsvdmi_20_hosvd_0123_64,True,traffic,tsvdmi,20,hosvd,0123,64,tsvdmi,hosvd,20,None,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.5922917149728164,2.725201193243265e-05,3.416370106761566,0.04650239902548492,0.029144985019229352,,,,0.003034390974789858,0.010928955976851285,35480.002917984595,0.10381570547052878,341759.493490671,339912.8135036096
traffic_tsvdmi_20_hosvd_0321_64,True,traffic,tsvdmi,20,hosvd,0321,64,tsvdmi,hosvd,20,None,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.5981711230706424,2.6881927624344826e-05,2.987551867219917,0.06329144490882754,0.03208219900261611,,,,0.0037583380471915007,0.013959640986286104,20671.08279180208,0.06048429724854546,341759.493490671,341133.78274104465
traffic_tsvdmi_40_dct_0123_64,True,traffic,tsvdmi,40,dct,0123,64,tsvdmi,dct,40,None,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.0005334590096026659,8.63696914166212e-06,1.708185053380783,0.030710644088685513,0.036613567965105176,,,,0.0034043759806081653,0.010212084976956248,18615.55472243416,0.054469751614792554,341759.493490671,341252.12455510936
traffic_tsvdmi_40_dct_0321_64,True,traffic,tsvdmi,40,dct,0321,64,tsvdmi,dct,40,None,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.0006701119709759951,8.306000381708145e-06,1.4937759336099585,0.033002704032696784,0.0435153670841828,,,,0.004075089003890753,0.018742885906249285,11194.99332927339,0.032756934459756214,341759.493490671,341576.0874466441
traffic_tsvdmi_40_eye_0123_64,True,traffic,tsvdmi,40,eye,0123,64,tsvdmi,eye,40,None,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",2.254033461213112e-06,3.942602779716253e-05,1.708185053380783,,0.05959243199322373,,,,0.003116430016234517,,19840.83852824986,0.05805497405675274,341759.493490671,341183.077712679
traffic_tsvdmi_40_eye_0321_64,True,traffic,tsvdmi,40,eye,0321,64,tsvdmi,eye,40,None,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",2.524931915104389e-06,3.8604019209742546e-05,1.4937759336099585,,0.06799020699691027,,,,0.0034228810109198093,,6959.918863415649,0.020364961313373536,341759.493490671,341688.6169020189
traffic_tsvdmi_40_hosvd_0123_64,True,traffic,tsvdmi,40,hosvd,0123,64,tsvdmi,hosvd,40,None,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.5633054759819061,2.502801362425089e-05,1.708185053380783,0.058337480993941426,0.052544089034199715,,,,0.003794066025875509,0.01002364105079323,20840.5852587835,0.06098026728071677,341759.493490671,341123.4694316287
traffic_tsvdmi_40_hosvd_0321_64,True,traffic,tsvdmi,40,hosvd,0321,64,tsvdmi,hosvd,40,None,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.5472060579340905,2.0348932594060898e-05,1.4937759336099585,0.07836256909649819,0.04890859907027334,,,,0.004219326074235141,0.013785465038381517,11157.466621503234,0.03264713002568808,341759.493490671,341577.31530297775
traffic_tsvdmi_5_dct_0123_64,True,traffic,tsvdmi,5,dct,0123,64,tsvdmi,dct,5,None,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.0009740180103108287,1.3797078281641006e-05,13.665480427046264,0.045234823948703706,0.02003753208555281,,,,0.0027644820511341095,0.014306879951618612,53958.691776389554,0.15788498287279462,341759.493490671,337472.9781371842
traffic_tsvdmi_5_dct_0321_64,True,traffic,tsvdmi,5,dct,0321,64,tsvdmi,dct,5,None,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.0006656940095126629,9.06805507838726e-06,11.950207468879668,0.03336096403654665,0.01472387497778982,,,,0.003179371007718146,0.01292646792717278,37306.396196530906,0.10915979484721837,341759.493490671,339717.21209533594
traffic_tsvdmi_5_eye_0123_64,True,traffic,tsvdmi,5,eye,0123,64,tsvdmi,eye,5,None,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",2.134009264409542e-06,3.7863035686314106e-05,13.665480427046264,,0.03814962995238602,,,,0.0024868750479072332,,55029.742830815005,0.16101891499414092,341759.493490671,337299.98339011875
traffic_tsvdmi_5_eye_0321_64,True,traffic,tsvdmi,5,eye,0321,64,tsvdmi,eye,5,None,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",2.174987457692623e-06,4.024791996926069e-05,11.950207468879668,,0.03387454594485462,,,,0.0024097870336845517,,35435.8527035043,0.10368652042864639,341759.493490671,339917.4189919892
traffic_tsvdmi_5_hosvd_0123_64,True,traffic,tsvdmi,5,hosvd,0123,64,tsvdmi,hosvd,5,None,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.6658816400449723,3.01579711958766e-05,13.665480427046264,0.05670855101197958,0.019396545947529376,,,,0.003080900991335511,0.010325893061235547,56758.631483448204,0.1660777024910869,341759.493490671,337013.36641612015
traffic_tsvdmi_5_hosvd_0321_64,True,traffic,tsvdmi,5,hosvd,0321,64,tsvdmi,hosvd,5,None,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.5869249340612441,2.5760033167898655e-05,11.950207468879668,0.06422940408810973,0.019525473937392235,,,,0.0032212920486927032,0.013811575947329402,37363.223161554095,0.10932607249599052,341759.493490671,339710.9667731963
traffic_tsvdmii_0.0001_dct_0123_64,True,traffic,tsvdmii,0.0001,dct,0123,64,tsvdmii,dct,None,0.0001,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.0005296010058373213,9.358045645058155e-06,0.5782290730767107,0.031558618997223675,,0.011937972041778266,0.0036153619876131415,0.10597303498070687,0.047495393082499504,0.012907823082059622,34.14049657544169,9.989626396837348e-05,341759.493490671,341759.49178541667
traffic_tsvdmii_0.0001_dct_0321_64,True,traffic,tsvdmii,0.0001,dct,0321,64,tsvdmii,dct,None,0.0001,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.0006814940134063363,8.687027730047703e-06,0.5287117561720902,0.04390125197824091,,0.01220055902376771,0.004911783034913242,0.13853503100108355,0.04482740897219628,0.01449997304007411,34.15261090524172,9.99317109128791e-05,341759.493490671,341759.49178420653
